食物,别名,特征,分类,Wiki百科,热量(千卡),硫胺素(毫克),钙(毫克),蛋白质(克),核黄素(毫克),镁(毫克),脂肪(克),烟酸(毫克),铁(毫克),碳水化合物(克),维生素C(毫克),锰(毫克),膳食纤维(克),维生素E(毫克),锌(毫克),维生素A(微克),胆固醇(毫克),铜(毫克),胡罗卜素(微克),钾(毫克),磷(毫克),视黄醇当量(微克),钠(毫克),硒(微克),备注
火鸡肫,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E7%81%AB%E9%B8%A1%E8%82%AB,91.0,0.02,44.0,18.9,0.08,24.0,0.3,7.8,3.7,3.2,0.0,0.03,0.0,0.33,2.62,0.0,342.0,0.0,1.1,352.0,108.0,76.5,57.0,16.3,Empty
鸽,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E9%B8%BD,201.0,0.06,30.0,16.5,0.2,27.0,14.2,6.9,3.8,1.7,0.0,0.05,0.0,0.99,0.82,53.0,99.0,0.24,1.0,334.0,136.0,66.6,63.6,11.08,Empty
鹌鹑,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E9%B9%8C%E9%B9%91,110.0,0.04,48.0,20.2,0.32,20.0,3.1,6.3,2.3,0.2,0.0,0.08,0.0,0.44,1.19,40.0,157.0,0.1,1.4,204.0,179.0,75.1,48.4,11.67,Empty
牛乳,Empty,均值,乳类,http://www.foodbk.com/wiki/%E7%89%9B%E4%B9%B3,54.0,0.03,104.0,3.0,0.14,11.0,3.2,0.1,0.3,3.4,1.0,0.03,0.0,0.21,0.42,24.0,15.0,0.02,0.6,109.0,73.0,89.8,37.2,1.94,Empty
牛乳,Empty,美国牛,乳类,http://www.foodbk.com/wiki/%E7%89%9B%E4%B9%B3,59.0,0.13,108.0,2.9,0.18,19.0,3.2,0.0,0.1,4.6,1.0,0.01,0.0,0.0,0.33,9.0,26.0,0.14,0.7,127.0,68.0,88.6,40.2,2.38,Empty
牛乳,Empty,强化VA，VD,乳类,http://www.foodbk.com/wiki/%E7%89%9B%E4%B9%B3,51.0,0.02,140.0,2.7,0.08,14.0,2.0,0.1,0.2,5.6,3.0,0.03,0.0,0.0,0.38,66.0,0.0,0.04,0.7,130.0,60.0,89.0,42.6,1.36,Empty
牛乳,Empty,西德牛,乳类,http://www.foodbk.com/wiki/%E7%89%9B%E4%B9%B3,60.0,0.12,114.0,3.1,0.16,19.0,3.0,0.0,0.1,5.1,0.0,0.01,0.0,0.0,0.38,13.0,32.0,0.16,0.7,120.0,87.0,88.1,45.8,2.5,Empty
鲜羊乳,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E9%B2%9C%E7%BE%8A%E4%B9%B3,59.0,0.04,82.0,1.5,0.12,0.0,3.5,2.1,0.5,5.4,0.0,0.0,0.0,0.19,0.29,84.0,31.0,0.04,0.7,135.0,98.0,88.9,20.6,1.75,Empty
人乳,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E4%BA%BA%E4%B9%B3,65.0,0.01,30.0,1.3,0.05,32.0,3.4,0.2,0.1,7.4,5.0,0.0,0.0,0.0,0.28,11.0,11.0,0.03,0.3,0.0,13.0,87.6,0.0,0.0,Empty
牛乳粉,Empty,多维奶粉,乳类,http://www.foodbk.com/wiki/%E7%89%9B%E4%B9%B3%E7%B2%89,484.0,0.28,1797.0,19.9,6.68,22.0,22.7,0.5,1.4,49.9,9.0,0.02,0.0,0.48,3.71,77.0,68.0,0.11,4.7,1910.0,324.0,2.8,567.8,16.8,Empty
